Стол раскладной кухонный, 9 890 R, Стол раскладной. \n\nГабариты: \n\nширина\xa0— 1100/1450 мм.\n\nВысота\xa0— 750 мм.\n\nГлубина\xa0— 700 мм.\n\nЦвет опоры: Хром.\n\nМатериалы: Стекло, Лдсп, Металл.
Стол стулья, 35 000 R, Внимание! Акция! Акция! Акция! \n\nСтолы стулья по самым низким ценам. Новогодние скидки. \n\nУ нас есть доставка по всей России. Быстро качественно и надёжно. \n\nЗвонить или писать на Ватсапп. Желательно.
Столы и стулья "Роза", 5 490 R, Стулья изготовлены из литого высокопрочного Абс пластика, окрашены ручным способом. \n\nНе боятся влаги! \n\nНе трескаются! \n\nНагрузка 150кг. \n\nСрок службы 50 лет! \n\nАкция! Всего 5490 руб. За стул при покупке от 4х штук! \n\nПоставляются в разобранном виде, 2 стула в коробке. \n\nСтул «Роза»\xa0— Каркас темный орех/ткань Муса темная (1 фото).\n\nСтул «Роза»\xa0— Каркас слоновая кость/ткань Муса светлая (2 фото).\n\nСтул «Дамаск»\xa0— Каркас светлый орех/ткань Муса темная (3 фото).\n\nСтул «Роза»\xa0— Каркас белый/ткань Муса светлая (4 фото).\n\nЦена: 5990 руб. \n\nСтол «Роза» раздвижной, размер 1.4х0.85м (венге, слоновая кость. Белый) Цена 24 400 руб. \n\nСтол «Роза» раздвижной, размер 1.6х0.9м (венге, слоновая кость. Белый) Цена 26 000 руб. \n\nЦена при самовывозе со склада в Воронеже. \n\nОптовикам Скидка! ( ИП, Ооо обязательно).\n\nРаботаем с 9:00 до 18:00 сб. С 10:00 до 18:00 вс. С 10:00 до 18:00! \n\nДоставка по городу: \n\nЛевый берег 500-600 р. Правый берег 600-800 р. \n\nШилово, Подгорное, Придонской, Масловка, Боровое 1000 р. \n\nЗа город 600р +30р. Км.
Кровать чердак со столом, 10 000 R, Д*Ш*В 2095*834*1660.\nСпальное место 180*80.\nМатериал Лдсп 16мм.\n\nПродаю за ненадобностью. Рабочее место очень широкое, туда помещается блок ПК с монитором и остальными комплектующим. Кровать прочная, выдерживает двух взрослых людей наверху, слева просторный шкаф с 4-мя полками и трубой для вешалок. На данный момент никаких плакатов нет, все панели чистые. На задней стенке есть отверстие для проводов, дабы те не мешались. Тумбочка В Комплект Не Входит. Возможно будет уже в разобранном виде! Звонки с 14:00 до 22:00.
Стол, 800 R, Средне состояние.
Стол, 44 000 R, Стол выполнен из массива ясеня и эпоксидной смолы\xa0— отличный вариант стола для тех, для кого качество и уникальность стоит на первом месте. \n\nГабариты: \n\n— Длина: 150 см. \n— Ширина: 59 см. \n— Высота столешницы: 4.2 см. \n— Высота: 75,2 см. \n\nАртикул изделия: 150059042ячб.\n\nСтолешница покрыта специальным натуральным составом растительных масел и воска для «столов и столешниц», который создает защиту от кофе, сока, вина и механических повреждений. Покрытие безопасно для детей и использования продуктов. \n\nПонравился стол и вы уже представляете, как он будет смотреться у вас, тогда заказывайте прямо сейчас. Мы настолько уверены в качестве нашей продукции, что даем возможность вам оплачивать покупку после осмотра, наложенным платежом в транспортной компании. \n\nПреимущества Inwood Epoxy: \n\n— Наша продукция долговечна, устойчива к механическим повреждениям, влаге и перепадам температур. \n— Высокое качество используемых материалов. \n— Даем гарантию 6 месяцев на наши работы. \n— Вся продукция уникальна и неповторима, благодаря слаженной работе всей команды, дизайнера и художника. \n— Имеется рассрочка без переплаты. \n— Доставим заказ в любой регион России. \n— Работаем без посредников, собственное производство и гибкие цены. \n\nПозвоните нам, чтобы этот стол достался именно вам. \n\nДобавляйте в Избранное, чтобы не забыть про то, что вас заинтересовал наш стол и выгодные условия работы. \n\nСмотрите больше Работ наших столов из слэба и массива карагача, дуба, ясеня, ореха и других пород деревьев в нашем профиле на Авито, а если не нашли подходящий вариант, то наши дизайнеры готовы реализовать задумку и мы в короткие сроки реализуем вашу идею. Вместе с нами вы всегда сможете себе купить обеденный стол, кухонный стол, барную стойку, журнальный столик, компьютерный стол, стол для переговоров, стол руководителя, стол лофт и другие виды столов, которые вы себе только можете представить.
Стол и 4 стула Цена за все, 2 000 R, Стол 60×80 В75.\nСтул Ш30 В45.\nНожки у стола и стульев откручиваются.\n/на металлическом каркасе.\nНичего не скрипит и не шатается.
Стол стулья, 35 000 R, Отличный стол, покупали пол года назад, не пригодился.
Столы и стулья "Роза", 5 490 R, Продаётся стол и полка. Без царапин и без сколов. Совершенно новые. Стол 9 500-10000. Полка 3000-5000.
Стол раскладной кухонный, 9 890 R, Продаётся стол офисный: ширина 0,87 м, длина 1,40 м, высота 0,72 м. Стол в отличном состоянии, приобретался для кройки и шитья.
